audio file path;album metadata;album directory
C:\Music\Little Miss Higgins\Little Miss Higgins-Gone for Good.mp3;Cobbler Shop Sessions;Cobbler Shop Sessions
C:\Music\Little Miss Higgins\Little Miss Higgins-I'm Gonna Bake My Biscuits.mp3;Live: Two Nights in March;Live- Two Nights in March
C:\Music\Little Miss Higgins\Little Miss Higgins-Numb Foot Strut.mp3;Cobbler Shop Sessions;Cobbler Shop Sessions
C:\Music\Little Miss Higgins\Little Miss Higgins-Pete's Back Shack Blues.mp3;Cobbler Shop Sessions;Cobbler Shop Sessions
C:\Music\Little Miss Higgins\Little Miss Higgins-The Silvertone Swing.mp3;Live: Two Nights in March;Live- Two Nights in March
C:\Music\Little Miss Higgins\Little Miss Higgins-You Turn Me On, I'm a Radio.mp3;Cobbler Shop Sessions;Cobbler Shop Sessions
C:\Music\Little Richard\Little Richard - Lucille.mp3;The Great Tomato Blues Package;The Great Tomato Blues Package
C:\Music\Little Texas\Little Texas-Peaceful Easy Feeling.mp3;Common Thread-The Songs of the Eagles;Common Thread-The Songs of the Eagles
C:\Music\Little Walter\Little Walter - Juke.mp3;The Great Tomato Blues Package;The Great Tomato Blues Package
C:\Music\Lonesome Sundown\Lonesome Sundown-Steppin' Up In Class.mp3;Louisiana Scrapbook;Louisiana Scrapbook
C:\Music\Long John Baldry\Long John Baldry-Morning Dew.mp3;Long John Baldry Trio Live;Long John Baldry Trio Live
C:\Music\Lonnie Johnson\Lonnie Johnson-I Have To Do My Time.mp3;Every Day I Have The Blues;Every Day I Have The Blues
C:\Music\Lonnie Johnson\Lonnie Johnson-Low Down St. Louis Blues.mp3;Legends Of The Blues: Volume 1;Legends Of The Blues- Volume 1
C:\Music\Loreena McKennit\Loreena McKennitt-The Mummers' Dance.mp3;The Book Of Secrets;The Book Of Secrets
C:\Music\Los Lobos\Los Lobos-La Bamba.mp3;La Bamba;La Bamba
C:\Music\Lou Ann Barton\Lou Ann Barton-Shake Your Hips.mp3;Whole Lotta...Blues - Legends Of Texas Blues;Whole Lotta...Blues - Legends Of Texas Blues
C:\Music\Louis Armstrong\Louis Armstrong - St. Louis Blues.mp3;The Great Tomato Blues Package;The Great Tomato Blues Package
C:\Music\Louisiana Red\Louisiana Red - (I'm A) King Bee.mp3;The Rising Sun Collection Vol. 11;The Rising Sun Collection Vol. 11
C:\Music\Louisiana Red\Louisiana Red - Sweet Blood Call.mp3;The Great Tomato Blues Package;The Great Tomato Blues Package
C:\Music\Louisiana Red\Louisiana Red - Sweet Home Chicago.mp3;The Rising Sun Collection Vol. 11;The Rising Sun Collection Vol. 11
C:\Music\Louisiana Red\Louisiana Red - Sweet Little Angel.mp3;The Rising Sun Collection Vol. 11;The Rising Sun Collection Vol. 11
C:\Music\Louisiana Red\Louisiana Red-Lightnin' Bug.mp3;Still Got The Blues, Vol:4;Still Got The Blues, Vol-4
C:\Music\Lowell Fulson\Lowell Fulson - Black Nights.mp3;Best Of The Blues, Vol. 1;Best Of The Blues, Vol. 1
C:\Music\Lowell Fulson\Lowell Fulson - Everyday I Have The Blues.mp3;Its All About the Blues;Its All About the Blues
C:\Music\Lucky Peterson\Lucky Peterson-Under My Thumb.mp3;Paint It Blue: Songs Of The Rolling Stones;Paint It Blue- Songs Of The Rolling Stones
C:\Music\Luther Allison\Luther Allison-You Can't Always Get What You Want.mp3;Paint It Blue: Songs Of The Rolling Stones;Paint It Blue- Songs Of The Rolling Stones
C:\Music\Madonna\Madonna - Die Another Day.mp3;Celebration;Celebration
C:\Music\Madonna\Madonna - La Isla Bonita.mp3;True Blue;True Blue
